sample,geoid,geoid_type
A06,"34.77,-109.60",centroid
A07,"34.50,-109.39",centroid
A08,"34.50,-109.39",centroid
A13,"34.54,-109.33",centroid
A14,"34.54,-109.33",centroid
A15,"34.52,-109.38",centroid
A16,"34.52,-109.38",centroid
A18,"34.77,-109.60",centroid
A19,"34.32,-109.27",centroid
A20,"34.12,-109.27",centroid
A23,"34.77,-109.60",centroid
A24,"34.77,-109.60",centroid
A26,"34.12,-109.27",centroid
C01,"31.42,-110.19",centroid
C02,"31.92,-110.30",centroid
C03,"31.57,-110.30",centroid
C04,"31.46,-110.24",centroid
C05,"31.54,-110.27",centroid
C06,"31.54,-110.27",centroid
C07,"31.66,-110.70",centroid
C08,"31.41,-110.36",centroid
C10,"31.41,-110.36",centroid
C11,"32.38,-109.90",centroid
C12,"31.41,-110.36",centroid
C13,"31.48,-110.04",centroid
C15,"31.49,-110.27",centroid
C16,"31.41,-110.36",centroid
C17,"31.41,-110.36",centroid
C18,"31.58,-110.19",centroid
C19,"31.55,-110.27",centroid
C20,"31.41,-110.36",centroid
C21,"31.41,-109.89",centroid
C22,"31.42,-110.19",centroid
C23,"31.48,-110.04",centroid
C31,"31.55,-109.93",centroid
C32,"31.38,-109.83",centroid
C33,"31.38,-109.83",centroid
C36,"31.41,-109.89",centroid
C37,"31.38,-109.83",centroid
C38,"31.55,-109.93",centroid
C39,"31.38,-109.83",centroid
C40,"31.38,-109.83",centroid
C42,"31.43,-109.92",centroid
C43,"31.38,-109.83",centroid
C45,"31.38,-109.83",centroid
C47,"32.38,-109.90",centroid
C48,"32.38,-109.90",centroid
C50,"31.97,-109.90",centroid
C51,"31.55,-109.93",centroid
C53,"32.21,-110.27",centroid
C55,"32.21,-109.84",centroid
C56,"32.21,-109.84",centroid
C57,"32.21,-109.84",centroid
D01,"34.45,-111.98",centroid
D02,"34.50,-112.28",centroid
D03,"34.41,-112.26",centroid
D04,"34.45,-111.98",centroid
D05,"34.50,-112.28",centroid
D07,"34.63,-112.09",centroid
D11,"34.63,-112.09",centroid
D12,"34.45,-111.98",centroid
D13,"34.50,-112.28",centroid
D15,"34.45,-111.98",centroid
D16,"34.50,-112.28",centroid
D17,"34.56,-112.32",centroid
D20,"34.45,-111.98",centroid
D21,"34.45,-111.98",centroid
D22,"34.50,-112.28",centroid
D25,"34.63,-112.09",centroid
D26,"34.63,-112.09",centroid
D29,"34.50,-112.28",centroid
D30,"34.45,-111.98",centroid
D31,"34.50,-112.28",centroid
D32,"34.45,-111.98",centroid
D34,"34.50,-112.28",centroid
D35,"34.50,-112.28",centroid
D36,"34.41,-112.26",centroid
D37,"34.45,-111.98",centroid
D38,"34.50,-112.28",centroid
D39,"34.65,-112.28",centroid
D40,"34.45,-111.98",centroid
D41,"34.45,-111.98",centroid
D43,"34.45,-111.98",centroid
D44,"34.45,-111.98",centroid
D45,"34.45,-111.98",centroid
D50,"34.50,-112.28",centroid
D09,"34.45,-111.98",centroid
G01,"33.06,-109.30",centroid
G02,"32.89,-109.15",centroid
G03,"32.98,-109.35",centroid
G05,"32.89,-109.15",centroid
G10,"32.60,-109.13",centroid
G20,"32.70,-109.12",centroid
G21,"32.98,-109.35",centroid
G22,"32.60,-109.13",centroid
G23,"32.60,-109.13",centroid
G24,"32.60,-109.13",centroid
G26,"32.60,-109.13",centroid
G27,"33.04,-109.31",centroid
G31,"33.40,-109.26",centroid
G32,"33.40,-109.26",centroid
G35,"33.05,-109.32",centroid
G37,"33.40,-109.26",centroid
G38,"33.05,-109.32",centroid
G41,"33.05,-109.32",centroid
G43,"32.89,-109.15",centroid
G44,"33.04,-109.31",centroid
G45,"33.40,-109.26",centroid
G46,"33.40,-109.26",centroid
G47,"33.04,-109.31",centroid
G48,"33.04,-109.31",centroid
G49,"33.06,-109.30",centroid
G50,"32.89,-109.15",centroid
GS01,"33.21,-111.66",centroid
GS02,"33.29,-111.10",centroid
GS03,"33.28,-111.08",centroid
GS04,"33.29,-111.11",centroid
GS05,"33.28,-111.11",centroid
GS06,"33.28,-111.08",centroid
GS07,"33.29,-111.11",centroid
GS08,"33.29,-111.10",centroid
GS09,"33.28,-111.08",centroid
GS10,"33.29,-111.11",centroid
GS11,"33.28,-111.08",centroid
GS12,"33.38,-111.23",centroid
GS13,"33.28,-111.11",centroid
GS14,"33.29,-111.10",centroid
GS16,"33.28,-111.08",centroid
GS17,"33.29,-111.10",centroid
GS18,"33.29,-111.11",centroid
GS19,"33.29,-111.11",centroid
GS20,"33.29,-111.11",centroid
GS25,"33.28,-111.08",centroid
